Object ID,Class Label,X,Y,Z
3,C - N -B - L,4.746356887325778,0.44107625170585907,18.90799943401614
3,C - N -B - L,4.8158948848330025,0.42057576009556785,19.013193234875637
3,C - N -B - L,4.748563404878858,0.4245083366028928,18.897649383086726
3,C - N -B - L,4.767791451955564,0.4096213627093117,18.961428107220442
3,C - N -B - L,4.763079343956803,0.442627639490077,18.98642474479668
3,C - N -B - L,4.758052871754225,0.4423833413275944,18.814816299153794
3,C - N -B - L,4.7974562619898,0.4317159571349574,19.088464646221254
3,C - N -B - L,4.733644875469319,0.4112902614254303,18.793127035431937
3,C - N -B - L,4.7841841236549145,0.46244099341619316,18.93717590451065
3,C - N -B - L,4.745131751884802,0.38649413404441496,18.87536143378743
3,C - N -B - L,4.7694981674242785,0.4096278031645004,18.968335408085302
3,C - N -B - L,4.764854392822798,0.422805086672212,18.947813497627262
3,C - N -B - L,4.811839657625438,0.37901883381616946,19.17676027294689
3,C - N -B - L,4.7617632500318114,0.45038945567822225,18.858013208301127
3,C - N -B - L,4.75685977182196,0.37547400198959996,18.952664065668397
3,C - N -B - L,4.758676475471272,0.4048096867519769,18.97531872874075
3,C - N -B - L,4.792539955023415,0.4292577768141882,19.044226425870715
3,C - N -B - L,4.778468632512624,0.42806157404903555,18.956415422522703
3,C - N -B - L,4.793829112227101,0.45113733440995757,19.003301726444118
3,C - N -B - L,4.77100919692209,0.4217756499792909,18.955683981763755
3,C - N -B - L,4.770728596912987,0.43223467778159574,18.93152683499087
3,C - N -B - L,4.790232019262993,0.4056626369381293,19.06294982091048
3,C - N -B - L,4.760194841391761,0.4310311532664177,18.940240392859767
3,C - N -B - L,4.772106689053569,0.431891942240005,18.940062701467816
3,C - N -B - L,4.773473451022989,0.4033631800581934,18.935768181045066
3,C - N -B - L,4.776223889240536,0.39343639064995967,18.97020291834535
3,C - N -B - L,4.819421762409723,0.41020483411322545,19.18678061070283
3,C - N -B - L,4.793256586503844,0.4211407556644154,19.112430081427203
3,C - N -B - L,4.781910918605097,0.39525096618150557,18.98332042836615
3,C - N -B - L,4.7654562591928515,0.38130309416670277,18.905699323880125
3,C - N -B - L,4.782127756075331,0.42268259887639203,19.051225498555734
3,C - N -B - L,4.774586823797287,0.42801475846520226,18.98468726836226
3,C - N -B - L,4.799739285383555,0.42418196179100887,19.093752260294835
3,C - N -B - L,4.774124422616259,0.38243352077803644,18.999208876279962
3,C - N -B - L,4.757118235306828,0.42129158961040364,18.912269026564694
3,C - N -B - L,4.785709076876413,0.3975661969358216,19.004456941001965
3,C - N -B - L,4.779098700162111,0.4464340551183973,18.929161835611563
3,C - N -B - L,4.77666362453623,0.4436779474615263,19.065816866697684
3,C - N -B - L,4.807047397540073,0.3942850710197291,19.130789116191654
3,C - N -B - L,4.832931373763921,0.45965528904202635,19.125713541624
3,C - N -B - L,4.800793767372423,0.4408757706381477,19.036576964573513
3,C - N -B - L,4.789267291424163,0.39028333666793535,19.121519141562647
3,C - N -B - L,4.7721234499339875,0.42817359983152753,18.932483423403855
3,C - N -B - L,4.75081461795893,0.41374724198169505,18.903279130576166
3,C - N -B - L,4.795448474427755,0.37942465724856794,19.086464254260687
3,C - N -B - L,4.8221184403107005,0.39729049217597673,19.172970127013006
3,C - N -B - L,4.781501432158975,0.40559660283975496,19.039034985937523
3,C - N -B - L,4.765184639760966,0.40406614001413393,18.93849279702064
3,C - N -B - L,4.843565505859904,0.4323728834167008,19.181464928168648
3,C - N -B - L,4.766580344055548,0.41623458103493677,18.956403024751438
3,C - N -B - L,4.7464895295292555,0.4224533462836677,18.87581888231501
3,C - N -B - L,4.772385323876871,0.3943653993207433,18.954079614520236
3,C - N -B - L,4.750986644179481,0.40575281978677796,18.895147664992066
3,C - N -B - L,4.791909110747895,0.44147680499532305,18.95364935028851
3,C - N -B - L,4.805198818218789,0.3915372461302906,19.059020118287158
3,C - N -B - L,4.765964428800599,0.43610692489305597,18.860426206970462
3,C - N -B - L,4.766537201403774,0.4286558305019667,19.002038983074264
3,C - N -B - L,4.784189478413169,0.4186496258365314,19.028234966157164
3,C - N -B - L,4.781877992807806,0.43225180049414297,19.01441202097562
3,C - N -B - L,4.7904023904959905,0.4129395431472824,19.092384942233434
3,C - N -B - L,4.786986276798519,0.3725970306161426,19.02221934213269
3,C - N -B - L,4.780161838008622,0.40596911601680696,19.025501417487476
3,C - N -B - L,4.729926664678672,0.4211886682872165,18.88036208415505
3,C - N -B - L,4.745882299270515,0.3981118843312328,18.998997163738732
3,C - N -B - L,4.801150320914487,0.42590031701259223,19.052995751865918
