Object ID,X,Y,Distance (cm),Yaw (degrees),Predicted X,Predicted Y,Predicted Distance (cm),Predicted Yaw (degrees)
3,497.5743408203125,245.0427703857422,15.49694245969177,15.556602557194305,497.12801653876824,244.47833764499433,15.498147285980894,15.522200331614453
3,497.40704345703125,245.41705322265625,15.226700573487962,15.54338371511947,497.170497690173,244.53206036120991,15.498032610597722,15.52547473592977
3,497.27667236328125,244.8219757080078,15.41966754016223,15.533081390759044,497.19300975768533,244.61628515757556,15.472209932733746,15.527179134000171
3,497.1728210449219,243.60433959960938,15.542043820057033,15.524874003563816,497.20097124635447,244.63585905172988,15.46720990123668,15.527740803696844
3,497.4691162109375,244.87628173828125,15.659977867587163,15.548288532782468,497.19829260940594,244.53770465222496,15.474330734827662,15.52746801286873
3,497.298828125,243.89572143554688,15.725499086930272,15.534832279770344,497.22406138868513,244.56992015393982,15.491995000278811,15.529449078695714
3,496.94659423828125,244.32664489746094,15.658082534340044,15.50699299984842,497.2311750843271,244.5057733859886,15.514211791936019,15.529961264407062
3,497.4095764160156,245.0247802734375,15.456876213044792,15.543583867117915,497.20409962992983,244.48873082922563,15.52789987312345,15.527776028793763
3,497.46881103515625,244.96078491210938,15.683887474481915,15.548264419206124,497.2236483857365,244.5397297760401,15.521142787742557,15.5292799630197
3,496.8310546875,244.57394409179688,15.7154056177435,15.49785953991135,497.2469721917719,244.57978729845271,15.53662567437221,15.531086069189733
3,496.7540283203125,243.9314727783203,15.473986575398722,15.491770117987656,497.20740428204107,244.5792314106357,15.553633731470896,15.527925095444573
3,497.28399658203125,245.50479125976562,15.373225761354183,15.533660200334966,497.164273546718,244.5176085887792,15.546056707769228,15.524485586306593
3,496.3724365234375,243.10191345214844,15.678664892693854,15.461597581501715,497.175662922436,244.6115202935131,15.529615121743015,15.525358376793099
3,497.5739440917969,243.48910522460938,15.630760257382027,15.556571212075792,497.09925205649785,244.46791151008838,15.54379421506021,15.519292817210902
3,497.18829345703125,244.6033172607422,15.589927104400576,15.526096832318972,497.1444090433115,244.37479863007422,15.552067209200265,15.522839074278995
3,497.612060546875,243.86801147460938,15.41224061106461,15.559582711006367,497.1485836918954,244.3965372132533,15.555668755728693,15.52314897918225
3,496.89471435546875,244.12921142578125,15.246575165827723,15.502891968778629,497.19267316407604,244.3462597924925,15.542024770864835,15.52661483511106
3,497.5660400390625,244.20199584960938,15.379018385484345,15.555946718878507,497.16432918582234,244.3256125956037,15.513919486045813,15.524358145971425
3,497.1226806640625,244.89376831054688,15.752353178617755,15.520911166965528,497.2025426388288,244.3138533347429,15.501086781065997,15.527363064650093
3,496.43243408203125,244.5347442626953,15.752048333782458,15.46634218282696,497.19494565434456,244.36901857560056,15.524988856229973,15.526749318662132
3,497.6499938964844,244.78253173828125,15.437222935489125,15.562579655657524,497.122410859531,244.3847834231717,15.546588151523004,15.521003020032477
3,497.40863037109375,244.45986938476562,15.525477591323126,15.543509111597736,497.1725976878545,244.42261960251824,15.536184683372577,15.524958036263534
3,497.36376953125,244.840087890625,15.390389528591093,15.53996419077545,497.1950504737144,244.42616301596698,15.535166163218209,15.526722721205608
3,497.46722412109375,245.06927490234375,15.54017179836789,15.548139028518097,497.2110999751948,244.4655378677807,15.521394199068334,15.527982323935547
3,497.55596923828125,243.73663330078125,15.403681803009817,15.555151027075063,497.23546390665746,244.52296864097053,15.523180427152226,15.529899740066847
3,497.6226806640625,244.6873779296875,15.500622156892774,15.560421767866194,497.26595209688605,244.44816819595545,15.51181307558134,15.532301778241761
