Object ID,Class Label,Estimated Distance (cm),Ground Truth Distance (cm),Error (cm)
3,C - N -B - L,16.660000669034147,16.5,0.16000066903414734
3,C - N -B - L,16.455147202464342,16.5,0.04485279753565763
3,C - N -B - L,16.5245485084674,16.5,0.024548508467400865
3,C - N -B - L,16.505565845924764,16.5,0.005565845924763835
3,C - N -B - L,16.34199657119793,16.5,0.1580034288020684
3,C - N -B - L,16.57498939803618,16.5,0.07498939803618043
3,C - N -B - L,16.368586834365175,16.5,0.1314131656348252
3,C - N -B - L,16.7371275408489,16.5,0.2371275408488991
3,C - N -B - L,16.48057849491938,16.5,0.019421505080618573
3,C - N -B - L,16.729682020608962,16.5,0.22968202060896203
3,C - N -B - L,16.65494621600464,16.5,0.15494621600463887
3,C - N -B - L,16.73423205774289,16.5,0.23423205774289002
3,C - N -B - L,16.63282963102285,16.5,0.13282963102285095
3,C - N -B - L,16.5064709621558,16.5,0.006470962155798787
3,C - N -B - L,16.408916361743046,16.5,0.0910836382569542
3,C - N -B - L,16.584663642803452,16.5,0.08466364280345218
3,C - N -B - L,16.486520003579574,16.5,0.013479996420425522
3,C - N -B - L,16.727115777137353,16.5,0.2271157771373531
3,C - N -B - L,16.42615640556222,16.5,0.0738435944377791
3,C - N -B - L,16.728987661187602,16.5,0.2289876611876025
3,C - N -B - L,16.348107331317202,16.5,0.15189266868279816
3,C - N -B - L,16.453208952857036,16.5,0.046791047142964004
3,C - N -B - L,16.438152437377486,16.5,0.06184756262251412
3,C - N -B - L,16.529703189302765,16.5,0.029703189302765054
3,C - N -B - L,16.689758479083537,16.5,0.1897584790835367
3,C - N -B - L,16.813375459607823,16.5,0.31337545960782265
3,C - N -B - L,16.52202597437737,16.5,0.02202597437737097
3,C - N -B - L,16.6405683067301,16.5,0.14056830673009912
3,C - N -B - L,16.41070126568888,16.5,0.08929873431112156
3,C - N -B - L,16.769084405643333,16.5,0.26908440564333347
3,C - N -B - L,16.590465724411224,16.5,0.09046572441122436
3,C - N -B - L,16.54376370622689,16.5,0.04376370622689052
3,C - N -B - L,16.684768687958854,16.5,0.18476868795885437
3,C - N -B - L,16.65084527107663,16.5,0.15084527107662993
3,C - N -B - L,16.238042726557115,16.5,0.261957273442885
3,C - N -B - L,16.437065531678687,16.5,0.06293446832131266
3,C - N -B - L,16.48147006086548,16.5,0.01852993913452039
3,C - N -B - L,16.578111523515506,16.5,0.07811152351550632
