Object ID,Raw X,Raw Y,Raw Distance,Raw Yaw (degrees),Filtered X,Filtered Y,Filtered Distance,Filtered Yaw (degrees)
3,489.9285888671875,263.18243408203125,16.825851545556663,14.950763830500698,490.15866829001874,262.57385363733215,16.610836062452403,14.97034974352028
3,490.4078674316406,263.06658935546875,16.57473862908422,14.988843388201506,490.1824038932911,262.62078549852436,16.607397871004384,14.972111217538036
3,490.47698974609375,261.8119201660156,16.608028093745624,14.994334165216596,490.2104559206716,262.54376105135964,16.607457884156492,14.974227404485994
3,490.7096862792969,263.23175048828125,16.276938430888126,15.012816497030272,490.25798619893425,262.6092625354214,16.5759900831431,14.977901360355952
3,490.5951232910156,262.58282470703125,16.754119284111727,15.003717529380905,490.2900790238459,262.60674586010595,16.592946595471812,14.9803588585425
3,490.8456115722656,262.2504577636719,16.389892488473365,15.023611123608823,490.34295461963035,262.5728343540683,16.573619902707264,14.98447560974081
3,489.0592956542969,262.47247314453125,16.661067171259745,14.881662413242644,490.22078875856175,262.5632829748374,16.581942261798986,14.97469087483955
3,491.0576171875,262.08111572265625,16.387103777336073,15.040445556612703,490.3004229034408,262.5173990451234,16.563401070363344,14.980948212274228
3,489.2746276855469,262.5567626953125,16.485177184002453,14.898783614125838,490.2028131943651,262.5211446995933,16.555957663865378,14.973129826711805
3,489.8947448730469,264.9955139160156,16.34551714388133,14.948074351923053,490.1735005918812,262.75658014108575,16.53593431553017,14.97074580627963
3,490.6632080078125,263.70172119140625,16.48454118791659,15.009125133930091,490.22009389904235,262.84650576980926,16.531044506425854,14.97439741485994
3,490.19915771484375,263.46734619140625,16.62300967491412,14.972262683482407,490.2181019986443,262.90557347150633,16.539794212388642,14.974194313270827
3,489.0834655761719,262.610595703125,16.777140872280373,14.88358431622915,490.1101543770429,262.8775097253658,16.56237502058667,14.965573812923548
3,489.69384765625,261.37445068359375,16.491538401701437,14.932108277890784,490.0705486001027,262.73451462544773,16.55563590448155,14.962390034114579
3,490.5853576660156,262.09765625,16.515337961757496,15.00294187563224,490.1195244629588,262.6739277195055,16.55180219865367,14.96624789435876
3,489.73748779296875,262.2093811035156,16.719005656619096,14.935576729147312,490.0831804044114,262.62973429323057,16.567708661941033,14.963330073343855
3,490.96630859375,262.6333923339844,16.504605895013103,15.033195468675027,490.1671932990831,262.6300822864169,16.561705630698896,14.969976440394547
3,490.3919372558594,263.5977783203125,16.58383896262221,14.987577924138561,490.1885731745118,262.72213913615076,16.56381117287289,14.971650868197658
3,490.781005859375,262.54400634765625,16.35830233006966,15.018480540225557,490.24493071360865,262.70519353904155,16.544261318621167,14.976105728875735
3,490.1556396484375,262.5205993652344,16.484453940580796,14.968805117003347,490.2364366085911,262.6876334136813,16.538571945905897,14.975411234260648
3,490.1578369140625,261.763916015625,16.50939664123865,14.968979695264661,490.2289596029799,262.5997623321228,16.53579656722265,14.974799416957161
3,490.5137939453125,263.2010192871094,16.43750429161259,14.997257616269133,490.2560550878985,262.6569582047224,16.526446301206274,14.976935801902085
3,490.5738220214844,263.226806640625,16.386313589415526,15.002025627390523,490.28628322758067,262.7111660416541,16.51311592998656,14.979322515777273
3,491.0211486816406,262.1778869628906,16.65354712013005,15.037549942240908,490.3561883541296,262.660437107152,16.526474647645912,14.984861482935235
3,490.93951416015625,261.63262939453125,16.56950337362298,15.031067842650883,490.41167789577844,262.56266571029755,16.5305678049476,14.989256916319793
3,489.66436767578125,262.6866760253906,16.641985064770633,14.92976519079478,490.34058931428814,262.57446230715146,16.541166475676857,14.983597710457467
3,489.8793029785156,262.7022399902344,16.3495023876783,14.946847209454633,490.2967091059413,262.5866172550026,16.522934285686013,14.980101791511256
3,490.50018310546875,262.6529541015625,16.727241249322798,14.99617648199139,490.3160646921113,262.59292758729475,16.542369108066175,14.981630906078554
3,490.14031982421875,262.97637939453125,16.444061236841865,14.967587910665202,490.29934687778257,262.6294036232341,16.533017524956577,14.98029505944613
3,489.6393737792969,262.0469055175781,16.720561916677465,14.92777862040381,490.2365666885406,262.57399327182725,16.55085775576374,14.975299413428202
3,490.42095947265625,264.74658203125,16.54818046337425,14.989883384819144,490.25410710631377,262.7806614159867,16.55060307753846,14.976686717992292
3,490.5295104980469,262.7103576660156,16.70411789855962,14.998505997633462,490.2803049163221,262.7739737558492,16.565206209654118,14.978762281909502
3,490.0845947265625,262.3253173828125,16.42147108414707,14.963160266619076,490.2616879509976,262.73129524151284,16.55153338121957,14.977278137532497
3,490.0873107910156,262.50433349609375,16.63624310281003,14.963376076073027,490.2451003016627,262.7097054768566,16.559591404169034,14.975955702182906
3,490.2701110839844,262.898193359375,16.515932184251508,14.97789978082223,490.2474794545601,262.72763540347995,16.555438316983288,14.976140632836737
3,491.11163330078125,261.9950866699219,16.445831547348305,15.044734313724934,490.32968214002534,262.65795166209995,16.54501196657293,14.98266561076701
3,490.3555908203125,262.45074462890625,16.624192443979087,14.984690573672117,490.3321467041195,262.63824108601483,16.552544012181194,14.98285823543228
3,490.2662353515625,261.96527099609375,16.389412075473878,14.977591869617846,490.32587688580253,262.5742247969711,16.537026084462084,14.982357272311875
3,490.3077392578125,261.450927734375,16.64417828215772,14.98088914042404,490.3241515439925,262.46737116714525,16.547218936957524,14.982217616270297
3,489.5440673828125,261.34320068359375,16.501200704918865,14.920203119385134,490.2499460510397,262.36043446845775,16.54284145339462,14.976318488277972
3,489.7515869140625,262.16741943359375,16.65971049799769,14.936697281768257,490.20253965191796,262.34207391860457,16.553958618030208,14.972549522104549
3,491.05706787109375,263.0015563964844,16.557031967578382,15.040401941247339,490.2838266173338,262.4048071650542,16.554250970292927,14.979003980979597
3,489.82550048828125,263.8173522949219,16.552862038719795,14.942571502661181,490.2402283645921,262.53917545801687,16.554118848238502,14.975538343091975
3,489.19830322265625,262.0851745605469,16.53231727264762,14.892715313819606,490.14111528795434,262.49598864551615,16.552044974458713,14.967659806604802
3,490.23602294921875,262.83514404296875,16.763822618962465,14.97519158657164,490.1501433739754,262.52825078391396,16.57219031116237,14.968376266756984
3,490.34844970703125,262.4351806640625,16.62192018043477,14.984123276515263,490.1690072521102,262.5193974942998,16.576920862018497,14.969874200123456
3,490.64691162109375,263.44482421875,16.393777455367935,15.007830824088899,490.2144678751741,262.60742865330127,16.559499356971187,14.973484821592645
3,489.7662353515625,261.0028381347656,16.741309030489383,14.937861479899114,490.1718297857692,262.4547920854853,16.576793990238052,14.970096153550909
3,489.88916015625,261.1115417480469,16.468369357346436,14.947630545100777,490.14494085644066,262.32701548827754,16.566480104390973,14.967959114071407
3,490.41748046875,263.4620056152344,16.542539345362236,14.98960702306781,490.1708661680669,262.43498134500106,16.56420274135692,14.970018369905937
3,490.1275634765625,262.42974853515625,16.429392455190648,14.966574369738382,490.16674700262087,262.43448357433715,16.551378922484513,14.969690759635228
3,490.5109558105469,262.9825134277344,16.722237927706136,14.997032178857557,490.1994898405399,262.4866148744416,16.56763187297899,14.972291610158106
3,489.320068359375,262.7752685546875,16.47838422652083,14.902396286255525,490.1158349367406,262.5140730345724,16.559142197165205,14.965642822605925
3,489.83367919921875,262.03570556640625,16.69925197100784,14.943221479277753,490.08899489316804,262.4685683646973,16.572470128994315,14.96350999398734
3,490.02557373046875,262.595703125,16.708955548073995,14.958470547141753,490.08296195982035,262.48066204924095,16.5854532942532,14.963030616983916
3,490.93829345703125,262.5605163574219,16.43229660414756,15.030970911069662,490.16432530390085,262.48825818427633,16.570884275672768,14.969493432328205
3,490.2895202636719,262.5356140136719,16.50483286127854,14.979441748022182,490.1762344649378,262.4927629039499,16.564601139896546,14.970439765102805
3,489.4928894042969,262.4537048339844,16.656430206317946,14.91613497874951,490.1112313182137,262.48904750802626,16.573336372829274,14.965274026446798
3,490.72247314453125,262.44775390625,16.44475582479469,15.013832023665328,490.169375650091,262.4851194573224,16.56110515805307,14.969893102210282
3,491.4727783203125,262.8795166015625,16.40159931506855,15.073403975025295,490.2933617288656,262.5226364553395,16.545932177004993,14.97973956602694
3,489.6788330078125,261.86810302734375,16.6443569107711,14.930914910724315,490.23490473165765,262.4603740134682,16.55529482221561,14.975095124455825
3,489.21795654296875,261.89251708984375,16.566223551199126,14.89427791563614,490.13816761378905,262.4063566674872,16.556334416715696,14.967407393711666
3,489.96185302734375,263.1944885253906,16.80284675610279,14.953407165749738,490.12139570240157,262.4813276494626,16.57978388391788,14.966075623110516
3,489.14654541015625,262.79156494140625,16.634791343367507,14.888600030401689,490.02866314392236,262.5108389478091,16.585016464233835,14.958705763360014
3,490.4171142578125,261.4918212890625,16.566176945270925,14.989577932315619,490.06561452598265,262.4139049721089,16.583224356454664,14.96164247603586
3,489.4855651855469,263.6495056152344,16.46900842434449,14.915552763565332,490.0104373775362,262.5314413872956,16.57235957478582,14.957258195717692
3,489.86199951171875,263.09375,16.795821718825827,14.9454721141667,489.9963172370912,262.58493095036016,16.593616393863662,14.95613704562651
3,489.85772705078125,262.6197814941406,16.45016743952066,14.945132581753699,489.98313385640074,262.5882461056259,16.57997082324204,14.95509024685675
3,490.87921142578125,264.6526184082031,16.712000882204173,15.026279317260613,490.06837316543664,262.78461936021614,16.592530172323485,14.961862101637504
3,490.22344970703125,263.08984375,16.788048684299465,14.974192665047415,490.0831248093793,262.8136538065251,16.611128855549268,14.963035045521634
3,489.46466064453125,262.4764709472656,16.531328101998227,14.913891007058423,490.02429345387793,262.7815793133054,16.60353781508439,14.958360222691256
3,489.2401428222656,261.62542724609375,16.343176541832523,14.896041881440649,489.9497011861508,262.67160043800504,16.57877096925496,14.95243219533595
3,490.60986328125,262.0335388183594,16.53188576502989,15.004888271098203,490.0124990539917,262.61090487616906,16.57431101785745,14.95742207545422
3,490.2586669921875,263.0285949707031,16.626201263859663,14.976990591642558,490.03591575992164,262.65063761384897,16.57924707346311,14.959283529031097
3,490.83685302734375,261.79949951171875,16.622344670386088,15.022915588963244,490.1121048550351,262.56967316824813,16.583346729010035,14.965336523770672
3,489.1813049316406,263.4400939941406,16.377984558901417,14.891363790551434,490.0235625849073,262.6524718814345,16.563811668592887,14.958299873291692
3,489.44757080078125,262.5078125,16.604187241149734,14.912532471716421,489.9687714113638,262.6387111690575,16.567652391783476,14.953946252786233
3,490.7662048339844,262.3150939941406,16.705646210104206,15.017305100250892,490.04462720349346,262.6079271105346,16.580779042988183,14.959973258209533
3,491.7201232910156,263.3990478515625,16.440505263150452,15.093035111176343,490.2040086381266,262.6831824093157,16.567435510622783,14.972630756593883
3,491.2216796875,264.677001953125,16.70724886809185,15.053471213755696,490.300814517313,262.8728443378891,16.580735245345636,14.980320698775296
3,489.78564453125,261.7159118652344,16.52022111833016,14.939404022980852,490.25180901257744,262.76279122668075,16.57497884373403,14.976428503182282
3,490.1945495605469,262.28656005859375,16.646355166207822,14.971896564965176,490.24636221167003,262.71748977396896,16.581768510841023,14.975997402912933
3,489.27337646484375,261.84783935546875,16.62369306465683,14.898684136549758,490.1538070184118,262.6347643457559,16.585756580751962,14.968642984481818
3,490.13623046875,263.0683288574219,16.565258716323584,14.96726299667521,490.1521350504965,262.6760071361022,16.58380672299742,14.968511713249379
3,490.57049560546875,261.47320556640625,16.504869725815393,15.00176141678265,490.1919315656478,262.5615907306273,16.576297847299134,14.971674588703843
3,489.94677734375,264.4942932128906,16.61113339240033,14.952209185184437,490.168611289417,262.74543890346075,16.579611575808972,14.969822943712774
3,490.62109375,262.38330078125,16.50880867436818,15.00578025618008,490.2116536481762,262.7109905428403,16.572876455333628,14.97324338025575
3,489.52191162109375,261.726806640625,16.614259628601424,14.918441975426353,490.1460419916659,262.61737012593136,16.576813026461874,14.968030400897142
3,490.49395751953125,261.22216796875,16.53414000627143,14.995681968499403,490.1791374291083,262.4846516295888,16.57275375874578,14.970660754107818
3,490.8251953125,261.88128662109375,16.486077901873884,15.02198981804904,490.2405936348575,262.4272565802331,16.564508724623696,14.975543427310292
3,490.6957092285156,263.6885070800781,16.378946920974098,15.011706435391961,490.28388647019375,262.54723293562154,16.546857172530025,14.978983430632434
3,490.42620849609375,265.4860534667969,16.346491292726594,14.99030035032101,490.29742484180275,262.82678800934633,16.527797383847396,14.9800599517348
3,491.2150573730469,262.3326721191406,16.594628317190747,15.052945469371572,490.3847145647382,262.77978527384437,16.534154671167133,14.986993180913036
3,490.69775390625,262.3475646972656,16.496363444860336,15.011868825041885,490.41449240767423,262.73867032522185,16.530559783713407,14.989359474619839
3,490.47540283203125,264.11444091796875,16.811501892585298,14.994208110803637,490.42028650703855,262.8695403955104,16.557284379898928,14.9898207007585
3,490.1788330078125,261.55853271484375,16.549617870787834,14.970647873193924,490.3973182617645,262.7448308921805,16.556555103817928,14.987996887032411
3,490.6167907714844,261.5589294433594,16.653685473687986,15.005438491036605,490.4181955671269,262.6320221093935,16.565794622673046,14.989656018252397
3,490.1519775390625,262.830078125,16.481309326813236,14.968514152602395,490.3928715979794,262.65086217242435,16.55775796549651,14.987644899932075
